date,tier,cumulative_return
2014-01-27,Moderate,0.40933235170845195
2014-01-28,Moderate,0.41623196521290917
2014-01-29,Moderate,0.386438171616013
2014-01-30,Moderate,0.39732712808193593
2014-01-31,Moderate,0.37443959493109524
2014-02-03,Moderate,0.34387901715605995
2014-02-04,Moderate,0.34825065294423196
2014-02-05,Moderate,0.3525669853302609
2014-02-06,Moderate,0.36360334936077043
2014-02-07,Moderate,0.3888560861037962
2014-02-10,Moderate,0.3830729449293728
2014-02-11,Moderate,0.39916845017996416
2014-02-12,Moderate,0.39013613220277854
2014-02-13,Moderate,0.40620446161357715
2014-02-14,Moderate,0.42330522046921115
2014-02-18,Moderate,0.4253133249244152
2014-02-19,Moderate,0.4105280870489898
2014-02-20,Moderate,0.41829165257497647
2014-02-21,Moderate,0.41578640111281895
2014-02-24,Moderate,0.43524957815934573
2014-02-25,Moderate,0.4259646002766506
2014-02-26,Moderate,0.42758946953613153
2014-02-27,Moderate,0.4404092076193524
2014-02-28,Moderate,0.44707011865080837
2014-03-03,Moderate,0.4369896217023139
2014-03-04,Moderate,0.45525185697436776
2014-03-05,Moderate,0.45615033038537267
2014-03-06,Moderate,0.45568819460619014
2014-03-07,Moderate,0.4523016536115665
2014-03-10,Moderate,0.44753386546340623
2014-03-11,Moderate,0.4459921227467425
2014-03-12,Moderate,0.4436965630523817
2014-03-13,Moderate,0.4276494113740501
2014-03-14,Moderate,0.42418110202750126
2014-03-17,Moderate,0.44293262813012224
2014-03-18,Moderate,0.44985757590855857
2014-03-19,Moderate,0.4459456261885071
2014-03-20,Moderate,0.4618487512750338
2014-03-21,Moderate,0.44938513678080594
2014-03-24,Moderate,0.4420924745937447
2014-03-25,Moderate,0.44734609602432496
2014-03-26,Moderate,0.43614580647287493
2014-03-27,Moderate,0.43171346672498223
2014-03-28,Moderate,0.4427947598319564
2014-03-31,Moderate,0.45259359185170966
2014-04-01,Moderate,0.46338124361815125
2014-04-02,Moderate,0.45970464813210743
2014-04-03,Moderate,0.45039262953117354
2014-04-04,Moderate,0.43252164609271837
2014-04-07,Moderate,0.42010462154278416
2014-04-08,Moderate,0.4241874101082357
2014-04-09,Moderate,0.4451148009353101
2014-04-10,Moderate,0.4142376780146295
2014-04-11,Moderate,0.3972068921160077
2014-04-14,Moderate,0.40828877438139255
2014-04-15,Moderate,0.417630576179981
2014-04-16,Moderate,0.4267616518507724
2014-04-17,Moderate,0.42471547205353466
2014-04-21,Moderate,0.42445524622348607
2014-04-22,Moderate,0.4265062742605461
2014-04-23,Moderate,0.4292975675222799
2014-04-24,Moderate,0.43622180075407124
2014-04-25,Moderate,0.4079858339785305
2014-04-28,Moderate,0.39973338896366095
2014-04-29,Moderate,0.4038406435327684
2014-04-30,Moderate,0.41014646564445933
2014-05-01,Moderate,0.4128520998453413
2014-05-02,Moderate,0.41346346286498803
2014-05-05,Moderate,0.42057343393643576
2014-05-06,Moderate,0.402583953811694
2014-05-07,Moderate,0.41356756256777616
2014-05-08,Moderate,0.40836710793775355
2014-05-09,Moderate,0.415634160317512
2014-05-12,Moderate,0.4339147152582188
2014-05-13,Moderate,0.44025030918368024
2014-05-14,Moderate,0.4296645517670059
2014-05-15,Moderate,0.41501236434527056
2014-05-16,Moderate,0.4229847149021162
2014-05-19,Moderate,0.42710446008648373
2014-05-20,Moderate,0.4185390321496796
2014-05-21,Moderate,0.4345065018973777
2014-05-22,Moderate,0.4406803167146396
2014-05-23,Moderate,0.45229015644275083
2014-05-27,Moderate,0.46245106406434044
2014-05-28,Moderate,0.45808369340330457
2014-05-29,Moderate,0.4698410381352167
2014-05-30,Moderate,0.4696133489650436
2014-06-02,Moderate,0.46856723192156324
2014-06-03,Moderate,0.4674528980452577
2014-06-04,Moderate,0.4686989054963391
2014-06-05,Moderate,0.48488328232358713
2014-06-06,Moderate,0.49766940623439737
2014-06-09,Moderate,0.49474411681964403
2014-06-10,Moderate,0.49535739491170805
2014-06-11,Moderate,0.4898854814628766
2014-06-12,Moderate,0.4711809148713604
2014-06-13,Moderate,0.4729093798682169
2014-06-16,Moderate,0.47240069347795677
2014-06-17,Moderate,0.4720347660378048
2014-06-18,Moderate,0.5014485715563664
2014-06-19,Moderate,0.5068560315052157
2014-06-20,Moderate,0.5062443834227746
2014-06-23,Moderate,0.5043892249011874
2014-06-24,Moderate,0.49598819151264784
2014-06-25,Moderate,0.4964952333577106
2014-06-26,Moderate,0.49887860099110526
2014-06-27,Moderate,0.4967025033195298
2014-06-30,Moderate,0.4920652510621386
2014-07-01,Moderate,0.5021694161430412
2014-07-02,Moderate,0.5037741099425199
2014-07-03,Moderate,0.5160280804507036
2014-07-07,Moderate,0.5065842004259438
2014-07-08,Moderate,0.48855660650064703
2014-07-09,Moderate,0.4978252765634912
2014-07-10,Moderate,0.49349644587959607
2014-07-11,Moderate,0.5121251952392476
2014-07-14,Moderate,0.5313990902098715
2014-07-15,Moderate,0.5255510358489353
2014-07-16,Moderate,0.5230815711338548
2014-07-17,Moderate,0.5177978678575359
2014-07-18,Moderate,0.5331101404246983
2014-07-21,Moderate,0.5296815627834834
2014-07-22,Moderate,0.5380886037446204
2014-07-23,Moderate,0.5279979238255925
2014-07-24,Moderate,0.5237404640313665
2014-07-25,Moderate,0.49873016470132336
2014-07-28,Moderate,0.5006170599842765
2014-07-29,Moderate,0.48807543972355694
2014-07-30,Moderate,0.4800328273996388
2014-07-31,Moderate,0.4484441198232787
2014-08-01,Moderate,0.45123759043598644
2014-08-04,Moderate,0.4535243905016735
2014-08-05,Moderate,0.4488900227973327
2014-08-06,Moderate,0.4426224490182782
2014-08-07,Moderate,0.43354332964666975
2014-08-08,Moderate,0.4461076723381716
2014-08-11,Moderate,0.44962224059416234
2014-08-12,Moderate,0.45018390526923713
2014-08-13,Moderate,0.4695483857710583
2014-08-14,Moderate,0.48174531617069083
2014-08-15,Moderate,0.4782040396583509
2014-08-18,Moderate,0.49367171003870003
2014-08-19,Moderate,0.5042416943342483
2014-08-20,Moderate,0.506360325313636
2014-08-21,Moderate,0.5095197431483487
2014-08-22,Moderate,0.5087334456218306
2014-08-25,Moderate,0.5158157983503313
2014-08-26,Moderate,0.522996217385983
2014-08-27,Moderate,0.5280407634630795
2014-08-28,Moderate,0.5225595349994328
2014-08-29,Moderate,0.5244856763598551
2014-09-02,Moderate,0.5203091663493189
2014-09-03,Moderate,0.5231292270603878
2014-09-04,Moderate,0.5254603442736703
2014-09-05,Moderate,0.5297449331579771
2014-09-08,Moderate,0.5395989583157812
2014-09-09,Moderate,0.5319743016354561
2014-09-10,Moderate,0.5294556941127428
2014-09-11,Moderate,0.526642522710822
2014-09-12,Moderate,0.5153097307697159
2014-09-15,Moderate,0.5072941131258542
2014-09-16,Moderate,0.5217305565207315
2014-09-17,Moderate,0.5099253555695658
2014-09-18,Moderate,0.519370438624686
2014-09-19,Moderate,0.5249219662063715
2014-09-22,Moderate,0.5181504111019677
2014-09-23,Moderate,0.5080199073843821
2014-09-24,Moderate,0.5284390309090363
2014-09-25,Moderate,0.5029136969227277
2014-09-26,Moderate,0.5135102825722293
2014-09-29,Moderate,0.5168825058502191
2014-09-30,Moderate,0.5099765573094928
2014-10-01,Moderate,0.4848342863262243
2014-10-02,Moderate,0.4818267934119982
2014-10-03,Moderate,0.5030087024854897
2014-10-06,Moderate,0.49473967436610766
2014-10-07,Moderate,0.47031278215357863
2014-10-08,Moderate,0.501654861736087
2014-10-09,Moderate,0.4719206064682253
2014-10-10,Moderate,0.45634035191758926
2014-10-13,Moderate,0.4354086190910267
